Title,ingredients
Choc Mud Breakfast Bowl,"almond milk, chia seeds, frozen bananas, avocado, raw cacao powder, maple syrup or raw honey, cinnamon, fluid coconut water, ice, activated almonds, bee pollen, toasted coconut, goji berries"
Semolina–Lemon Syrup Cakes,"almond flour or almond meal, semolina flour, baking powder, kosher salt, butter, room temperature, plus sugar, finely grated lemon zest, eggs, beaten to blend, lemon juice, finely grated lemon zest, lemon juice, sugar"
Ramp and Walnut Pistou,"walnuts, bunch ramps, trimmed, olive oil, white wine vinegar, Kosher salt, freshly pepper"
Matzo Crumble,"schmaltz or vegetable oil, oregano, rosemary, garlic, red pepper flakes, sheets matzo, crumbled into -inch, Kosher salt"
Lime-Pickled Red Onion,"red onion, halved through root end, thinly, lime juice, Kosher salt, cilantro with tender stems, coarsely, sumac"
Charred Scallion Butter,"bunches scallions, trimmed, halved crosswise, finely grated lime zest, lime juice, butter, room temperature, Kosher salt, freshly black pepper"
Stir-Fried Asparagus With Bacon and Crispy Shallots,"black vinegar, sherry vinegar, shallots, thinly into rings, slab bacon, cut into x -inch, vegetable oil, plus more for frying, all-purpose flour, fine-grind cornmeal, Kosher salt, asparagus, trimmed, thinly on a diagonal, white soy sauce, A deep-fry thermometer"
Marinated Lentils with Crunchy Vegetables,"onion, quartered through root end, bay, black beluga or French green lentils, rinsed, picked through, Kosher salt, olive oil, coriander seeds, cumin seeds, sherry vinegar or red wine vinegar, Freshly black pepper, radishes, trimmed, very thinly, scallions, thinly, parsley and/or mint, thinly celery hearts and"
Brown-Butter–Fried Onion Rings,"buttermilk, all-purpose flour, Kosher salt, freshly pepper, red onion, into -inch-thick rings, butter"
Blackened Leeks With Asparagus and Boiled Eggs,"eggs, leeks, white and pale-green parts only, halved lengthwise, butter, bunch asparagus, trimmed, Kosher salt, freshly pepper, lemon juice, grain mustard, Flaky sea salt"
Spiced and Grilled Steaks With Citrus Chutney,"grapefruit, thinly, seeds removed, kumquats, seeds removed, shallot, finely, sugar, kosher salt, Champagne vinegar or white wine vinegar, coriander seeds, coffee, kosher salt, light brown sugar, unsweetened cocoa powder, freshly black pepper, Vegetable oil, hanger steaks, center membrane removed, each cut into, A spice mill or a mortar and pestle"
Ember-Grilled Steak with Bay Leaf Browned Butter,"bone-in rib-eye steak, Kosher salt, Sugar, bunch carrots, scrubbed, patted dry, olive oil, butter, bay, Flaky sea salt, A fireplace, seasoned hardwood logs, and bricks"
Coffee-Rubbed Steak,"ancho chile powder, finely coffee beans, dark brown sugar, hot smoked Spanish paprika, oregano, freshly black pepper, coriander, mustard powder, chile de árbol powder or finely red pepper flakes, ginger, kosher salt, plus more, - boneless New York strip steaks, vegetable oil"
"Lamb Meatballs with Escarole, Cipollini Onions, and Cranberry Beans","cranberry beans, borlotti beans, or Roman beans, or shelled cranberry beans, salt, bay, smoky slab bacon, lamb, marjoram, rosemary, yellow onion, garlic, eggs, lightly beaten, bread crumbs or finely panko bread crumbs, coarse salt, freshly black pepper, plus extra-virgin olive oil, divided, quarts homemade beef stock or prepared beef broth, or lamb stock, if you have it, extra-virgin olive oil, cipollini onions, peeled and quartered, Coarse salt and freshly black pepper, head escarole, trimmed, cut into -inch and rinsed well, Freshly grated Parmigiano-Reggiano cheese, flat- parsley, celery"
3-Ingredient Cacio e Pepe (Pasta With Cheese and Pepper),"finely grated Pecorino Romano, plus more for serving, freshly black pepper, plus more for serving, extra-virgin olive oil, spaghetti, Kosher salt"
Braised Lamb Shanks With Fish Sauce,"garlic, smashed, finely, lamb shanks, excess fat and silver skin trimmed, fish sauce, divided; plus more for serving, vegetable oil, shallots, thinly, finely cilantro stems, bird chiles, kaffir lime or finely grated lime zest, bay, homemade chicken stock or low-sodium chicken broth, fennel bulbs, quartered, carrots, scrubbed, or larger carrots, scrubbed, cut into -inch, cilantro, Thai or sweet basil, and/or celery, divided"
Elvis-Inspired Peanut Butter Banana Waffles,"bananas, all-natural peanut butter, eggs, pure vanilla extact, unsweetened almond milk, all-purpose flour, brown sugar, baking soda, kosher salt, Olive oil spray"
Brown Butter Dutch Baby,"butter, eggs, all-purpose flour, milk, kosher salt, plus sugar, divided"
"White Onion, Fennel, and Watercress Salad","white onion, very thinly into rings, fennel seeds, fennel bulb, thinly into rings, bunch watercress, thick stems removed, white wine vinegar, Kosher salt and freshly black pepper, olive oil"
Wilted Greens Soup with Crème Fraîche,"butter, onion, thyme, picked, Yukon Gold or russet potato, peeled, cut into -inch, low-sodium chicken broth, mixed wilted greens, frozen peas, thawed, sugar, Kosher salt, freshly pepper, Crème fraîche and chives, tarragon, mint, and/or parsley"
Open-Face Steak Sandwich with Parmesan Dressing,"flank steak, Kosher salt, freshly pepper, vegetable oil, red onion, thinly, grain mustard, lemon juice, olive oil, plus more for bread, Parmesan, finely grated, ciabatta loaf, halved lengthwise, mature arugula with tender stems"
Grilled Sweet Onion and Butter Sandwich,"white sandwich bread, butter, room temperature, sweet onion, into -inch-thick rounds, Flaky sea salt, Coarsely black pepper, parsley, A -inch-diameter cookie cutter"
Matzo-Kimchi Pancakes,"sheet matzo, into very fine, kimchi juice, scallions, thinly, drained kimchi, finely onion, potato starch, kosher salt, sugar, vegetable oil, divided"
Matzo Fritters,"sheets matzo, into -inch, egg, beaten to blend, kosher salt, plus sugar, cinnamon, Vegetable oil, Jam, A deep-fry thermometer"
"Flatbread with Fava Beans, Cucumbers, and Burrata","shelled fava beans, Kosher salt, lemon juice, olive oil, plus more for grill, Freshly black pepper, Persian cucumbers, thinly, unseasoned rice vinegar, Garlic-Herb Naan or store-bought pizza dough, room temperature, halved, balls burrata or mozzarella, drained, Basil, toasted sesame seeds, Flaky sea salt"
Fried Squid with Aioli,"potato starch, baking powder, arepa flour, divided, egg yolk, garlic, finely grated, lemon juice, grapeseed oil, olive oil, Kosher salt, Vegetable oil, cleaned squid, bodies and tentacles separated, scallions, white and pale-green parts only, into -inch, very thin lemon wheels, torn basil, A deep-fry thermometer"
Don’t Passover This Party Mix,"sheets matzo, broken into -inch, mixed nuts, egg whites, plus light brown sugar, granulated sugar, soy sauce, garam masala, kosher salt, freshly black pepper, cayenne pepper, butter"
Chocolate-Avocado Pudding,"avocados, pits removed, vanilla bean, split lengthwise, unsweetened cocoa powder, pure maple syrup, agave nectar, orange juice, kosher salt, heavy cream, cocoa nibs and/or hazelnuts"
Nancy's Falafel Pistachios,"cumin, coriander, basil, marjoram, rosemary, turmeric, peeled garlic, olive oil, hot red chilies, such as chilies de árbol or pequin chilies, pistachios in the shell, salt"
Spinach Shakshuka,"extra-virgin olive oil, plus more for drizzling, yellow onion, finely, jalapeño, seeded and finely, garlic, finely, coriander, cinnamon, kosher salt, baby spinach, lemon juice, – eggs, Freshly black pepper, Feta cheese and roughly cilantro, for sprinkling"
Green Garlic and Leek Matzo Brei With Smoked Salmon and Horseradish Cream,"crème fraîche or plain Greek yogurt, – prepared horseradish, Kosher or sea salt and freshly white pepper, bunch each young leeks and green garlic, about plants total, or leeks, white part only, and – garlic, butter, olive oil, sheets matzo, eggs, smoked salmon, A few dill, snipped, lemon"
3-Ingredient Sweet and Savory Short Ribs,"English-style bone-in beef short ribs, Kosher salt, freshly black pepper, olive oil, prune juice, teriyaki sauce"
"Lemon-Roasted Salmon with Escarole, Asparagus, and Potatoes","skinless salmon fillet, finely grated lemon zest, finely oregano, kosher salt, freshly black pepper, extra-virgin olive oil, roasted bell peppers from a jar, thinly, new potatoes, halved, bunch asparagus, trimmed, extra-virgin olive oil, lemon juice, honey, kosher salt, freshly black pepper, finely dill, plus for serving, head escarole, coarsely, feta, crumbled"
Grilled Escarole,"head escarole, outer removed and saved, thoroughly washed, Extra-virgin olive oil, Coarse salt, pitted, green olives"
Jalapeño and Lime–Marinated Skirt Steak Tacos,"jalapeño, thinly, garlic, finely, coarsely cilantro, lime juice, olive oil, kosher salt, freshly black pepper, cumin, skirt steak, cut crosswise into – -inch segments, corn tortillas, Homemade or store-bought tomatillo salsa, avocado, sour cream, thinned with a water or lime juice, Crumbled queso fresco, cilantro, thinly red onion, and lime wedges"
Coconut–Key Lime Sheet Cake,"unsweetened shredded coconut, Nonstick vegetable oil spray, cake flour, plus more for pan, baking powder, kosher salt, virgin coconut oil, vanilla extract, canned unsweetened coconut milk, divided, sugar, butter, room temperature, eggs, finely grated key lime zest, key lime juice, butter, cut into, room temperature, egg yolks, sugar, finely grated key lime zest, key lime juice, cold heavy cream, finely grated key lime zest, unsweetened coconut flakes"
Aromatic Shrimp and Noodle Medicine Soup,"green cardamom pods, star anise pods, chiles de árbol, cinnamon, black peppercorns, bunch cilantro, shallots, halved through root ends, garlic, smashed, lemongrass, tough outer layer removed, lightly smashed, ginger, peeled, -inch thick, low-sodium chicken broth, fish sauce, Kosher salt, freshly pepper, cashews, shallot, Fresno chile, lemongrass, tough outer layer removed, finely, ginger, peeled, finely, dark brown sugar, shrimp paste with bean oil, vegetable oil, ramen noodles, shrimp, peeled and deveined, mung bean sprouts, scallions, thinly on a diagonal, tender herbs, Freshly black pepper, Chili oil and lime wedges"
Raspberry & Banana No-Knead Breakfast Loaf,"butter, light brown sugar, eggs, lightly beaten, wheat flour, plus all-purpose flour, baking powder, ripe bananas, roughly mashed, raspberries, Handful rolled oats"
Seared Steak With Cipolline Onions And Radicchio,"bavette steak, cut into, or one – -inch-thick boneless sirloin, cipolline onions, plus olive oil; plus more for drizzling, Kosher salt, butter, torn radicchio, red wine vinegar"
Hoisin-Glazed Pork Chops,"vegetable oil, garlic, finely, soy sauce, honey, distilled white vinegar, tahini, Sriracha, Kosher salt, freshly pepper, bone-in pork rib chops, patted dry"
Easy One-Pot Caprese Pasta,"wheat rigatoni, tomatoes with basil, light string cheese, cut into -inch, container grape tomatoes, halved, onion, About basil, garlic, salt, black pepper, balsamic vinegar, About basil, for garnish, shredded Parmesan cheese, for garnish"
Mustard-Crusted Pork Loin With Apple–Cabbage Slaw,"- pork tenderloin, kosher salt, freshly black pepper, grainy mustard, such as Grey Poupon, olive oil, butter, white wine vinegar, light brown sugar, shredded cabbage, apple, grated through to holes on grater, parsley"
Golden Milk Turmeric Tea,"unsweetened non-dairy milk, preferably coconut milk beverage or almond milk, cinnamon, turmeric, unpeeled, thinly, or turmeric, ginger, unpeeled, thinly, honey, virgin coconut oil, black peppercorns, cinnamon"
Grapefruit–Poppy Seed Loaf Cake with Yogurt Glaze,"Nonstick vegetable oil spray, all-purpose flour, baking powder, kosher salt, plus more, finely grated grapefruit zest, granulated sugar, eggs, room temperature, vegetable oil, vanilla extract, plus plain Greek yogurt, grapefruit juice, divided, poppy seeds, plus more for sprinkling, powdered sugar"
Coconut-Date Power Breakfast Bars,"Nonstick vegetable oil spray, Medjool dates, pits removed, wheat flour, old-fashioned oats, kosher salt, baking powder, almonds, divided, room-temperature virgin coconut oil, butter, room temperature, coconut sugar, plus agave nectar or honey, sweetened shredded coconut, finely grated lime zest, lime juice, unsweetened coconut flakes, unsweetened shredded coconut"
"Pasta with Rock Shrimp, Chile, and Lemon","butter, bonito flakes, shrimp, or capellini, tagliatelle, or fettuccine, preferably egg-enriched, Kosher salt, olive oil, red chile, seeds removed, finely, wide strips lemon zest, thinly, rock shrimp or other shrimp, peeled and deveined, cut into, finely tarragon, lemon juice, scallions, green parts only, thinly, A spice mill or mortar and pestle"
Braised Artichokes with Tomatoes and Mint,"peeled tomatoes, preferably Italian San Marzano, drained, dry white wine, red pepper flakes, kosher salt, plus more, olive oil, divided, salt-packed anchovy fillets, rinsed, patted dry, garlic, mint, artichokes, lemons, halved"
Cannellini Beans With Spinach,"cannellini beans, soaked overnight, drained, head garlic, halved crosswise; plus garlic, sage, olive oil, divided, plus more for serving, Kosher salt, red pepper flakes, bunches mature spinach, trimmed, finely grated lemon zest, lemon juice"
Crunchy Winter Slaw with Asian Pear and Manchego,"raw pumpkin seeds, plus olive oil, Kosher salt, freshly pepper, lemon juice, Dijon mustard, pure maple syrup, very thinly green cabbage and/or fennel, matchsticks Asian pear, matchsticks peeled celery root or celery, matchsticks peeled daikon, Manchego cheese, shaved, divided"
Roasted Carrots With Stracciatella And Buckwheat,"carrots, any color, scrubbed, tops trimmed, halved lengthwise, olive oil, plus more for drizzling, Kosher salt, buckwheat groats, nigella seeds, Champagne vinegar, carrot juice, stracciatella di bufala, burrata, or mozzarella, torn into, mixed tender herb"
Dark Chocolate Semifreddo,"bittersweet or semisweet chocolate, vanilla extract, kosher salt, plus more, heavy cream, divided, egg whites, room temperature, sugar, A candy thermometer"
Brisket with Pomegranate-Walnut Sauce and Pistachio Gremolata,"beef brisket with fat, fat trimmed to "" thickness, kosher salt, freshly black pepper, head garlic, peeled, walnuts, honey, pomegranate juice, divided, mint, shelled roasted, pistachios, garlic, finely grated lemon zest, kosher salt, freshly black pepper, extra-virgin olive oil, A roasting pan"
Banana-Pecan Ice Cream Bread,"Nonstick vegetable oil spray, very ripe bananas, peeled, mashed, pint softened butter pecan ice cream, self-rising flour, sugar"
3-Ingredient Steak With Crispy Parmesan Potatoes,"new potatoes, Kosher salt, olive oil, divided, grated Parmesan, hanger steak, Freshly black pepper"
3-Ingredient Maple-Cardamom Salmon,"olive oil, maple syrup, cardamom, skin-on salmon fillet, kosher salt, Dill"
3-Ingredient Hazelnut Cookies,"skin-on hazelnuts, egg white, kosher salt, sugar"
Grilled Beef Skirt Steak With Onion Marinade,"yellow onion, coarsely, garlic, peeled, plus extra-virgin olive oil, water, skirt steak, silver skin trimmed away, kosher salt, ⁄ freshly black pepper, Smoked sea salt, for finishing, Ox’s Chimichurri, for serving"
Ox’s Chimichurri,"yellow onion, flat- parsley, oregano, finely grated or garlic, kosher salt, freshly black pepper, red pepper flakes, extra-virgin olive oil, red wine vinegar"
Creamsicle Macaroons,"egg whites, unsweetened shredded coconut, full-fat coconut milk, honey, Zest one orange, orange juice, vanilla extract, salt"
3-Ingredient Shakshuka,"olive oil, pico de gallo, strained, kosher salt, plus more, crumbled feta, eggs, Freshly black pepper"
Halibut Stuffed With Kale and Feta Pesto,"grapeseed oil, skinless halibut fillets, about each, Kosher salt and freshly black pepper, scallions, white and pale green parts, each cut crosswise into equal, coarsely stemmed kale, rib celery, coarsely, crumbled feta cheese, – extra-virgin olive oil"
Pizzarelle (Honey-Soaked Matzo Fritters),"sheets matzo, egg, separated, sugar, pine nuts, raisins, orange zest, sea salt, Neutral oil, for frying, Honey, for serving"
Chocolate “Creme Egg” Tart,"butter, plus more for pan, chocolate wafer cookies, coarsely crumbled, kosher salt, light corn syrup, cream cheese, room temperature, butter, cut into, room temperature, vanilla extract, kosher salt, powdered sugar, – drops yellow food coloring, – drops red food coloring, milk chocolate, semisweet chocolate, heavy cream, kosher salt, butter, cut into, room temperature, light corn syrup, A "" tart pan with removable bottom"
The Spring Spritz,"Aperol, sparkling white wine, grapefruit juice, Splash soda water, grapefruit wheel"
"""Seder Plate"" Salad","walnuts, neutral vegetable oil, such as grapeseed, divided, lamb sausage in casing, into ""-thick coins, plus prepared horseradish, lemon juice, honey, kosher salt, freshly black pepper, flat- parsley, divided, romaine heart, coarsely, apple, such as Honeycrisp, Gala, or Fuji, thinly, hard-boiled eggs, quartered"
Microwave Egg Sandwich with Cheddar and Avocado,"Nonstick vegetable oil spray, vegetable oil, or butter, eggs, kosher salt, black pepper, grated cheddar, toast or English muffin, biscuit, or roll, split, toasted, avocado, Hot sauce or pesto, A microwave-safe, flat-bottomed bowl or roughly the size your sandwich"
"Roast Chicken with Smothered Cabbage, Bacon, and Potatoes","lemon, garlic, finely, finely chives, coarsely parsley and tender stems, plus for serving, butter, room temperature, chicken, excess fat trimmed, kosher salt, divided, freshly black pepper, divided, potatoes, cut lengthwise into -inch wedges, smoked bacon, cut crosswise into -inch, caraway seeds, olive oil, divided, head savoy cabbage, halved, cored, cut crosswise into -inch-thick strips, Kitchen twine; a roasting pan"
3-Ingredient Smoked Mozzarella Sticks,"egg roll wrappers, smoked mozzarella, cut into x "" logs, Canola oil, Kosher salt"
"Green Pea, Asparagus, and Parsley Soup","coconut oil, leeks, frozen green peas, low-sodium vegetable broth, bunches asparagus, tough ends removed and cut into -inch, parsley, Himalayan or sea salt and freshly black pepper, thyme"
"Angel Hair with Lemon, Kale, and Pecans","pecans, angel hair pasta, extra virgin olive oil, divided, garlic, chili flakes, kale, stems discarded and, Zest lemon, Juice lemon, basil, torn, kosher salt, freshly black pepper, grated Parmesan"
Irish Stew with Pearl Barley,"bone-in lamb leg chops, Salt and freshly black pepper, carrots, celery, trimmed and cut at an angle into -inch, onions, peeled and each cut into wedges, garlic, peeled and left, pearl barley, lamb or chicken stock, – potatoes, parsley"
3-Ingredient Microwave Caramel Sauce,"butter, light brown sugar, heavy cream, salt, A - microwave-safe mug or deep bowl"
Spring Bibimbap,"bunches Swiss chard, big Kirby cucumber or half a conventional cucumber, carrot, peeled, radishes, sugar, plus fine sea salt, rice vinegar, – neutral-tasting oil, – toasted sesame oil, toasted or black sesame seeds, cooked white or brown rice, or mixed grains, freshly cooked if skipping the rice crisping step, squares toasted nori, Napa Cabbage or Bok Choy, Kimchi, preferably homemade, avocado, peeled and, Gochujang or Sriracha, for serving"
Black Sesame Noodle Bowl,"black sesame seeds, neutral-tasting oil, soy sauce, rice vinegar, brown sugar, wasabi powder, fine sea salt, bundles soba, udon, or somen noodles, shallots, avocado, -minute eggs, -to- radishes, tender greens, such as watercress, upland cress, baby arugula, or tatsoi, scallions, white and green parts, thinly, Kecap manis, for drizzling"
Deviled Egg Salad Spread,"mayonnaise, Dijon mustard, lemon juice, kosher salt, freshly black pepper, paprika, plus more for serving, hard-boiled eggs, cut into -inch, chives, plus more for serving, bread, preferably pumpernickel or rye, cut into triangles, toasted"
Green Bean Niçoise Salad,"new potatoes, Kosher salt, green beans, trimmed, eggs, shallot, finely, finely grated lemon zest, plus lemon juice, Dijon mustard, honey, freshly black pepper, olive oil, divided, coarsely dill, divided, drained capers, patted dry, bunch breakfast radishes, trimmed, quartered, Niçoise or Kalamata olives, pitted, halved"
Cucumber and Raisin Relish with Mustard Seeds,"apple cider vinegar, light brown sugar, kosher salt, mustard powder, cucumber, cut into inch, finely onion, golden raisins, mustard seeds"
"Cider-Brined, Mustard-Glazed Pork Loin","kosher salt, light brown sugar, black peppercorns, coriander seeds, lightly, mustard seeds, thyme, bay, apple cider, divided, boneless pork loin, kosher salt, freshly black pepper, vegetable oil, country Dijon mustard, light brown sugar, maple syrup, thyme, apple cider"
Hummus Tehina,"chickpeas, baking soda, Basic Tehina Sauce, plus a bit more for topping, kosher salt, cumin, Paprika, parsley, Olive oil, for drizzling"
The Last Tango in Modena,"St Germain, egg whites, -year-old traditional balsamic vinegar, Preferably Leonardo e Robert’s gourmet blends, Hendrick's gin, St Germain Foam, strawberry, for garnish"
Perfect Coddled Egg,"butter, heavy cream, divided, finely cooked ham, thinly chives, Kosher salt, freshly pepper, egg, country-style bread, toasted, buttered, A coddler"
Aromatic Wilted Greens With Coconut Milk,"virgin coconut oil, garlic, lightly, shallots, red chile, thinly, ginger, peeled, thinly into matchsticks, bunch scallions, thinly, divided, Kosher salt, bunch kale, ribs and stems removed, torn, bunch collard greens, ribs and stems removed, -inch thick, unsweetened coconut milk, divided, Lime wedges"
"Beets With Pecorino, Pecans, and Shishito Peppers","mixed or beets, scrubbed, olive oil, divided, plus more for drizzling, Kosher salt, thyme, red wine vinegar, shishito peppers, pecans, red onion, very thinly, Hot chili sesame oil and grated Pecorino"
Fried Potatoes with Tomato-Chipotle Sauce and Aïoli,"fennel seeds, olive oil, onion, finely, Kosher salt, chipotle chiles, pasilla, New Mexico, or guajillo chile, seeds removed, garlic, finely, coriander, peeled tomatoes, russet potatoes, scrubbed, cut into -inch, Kosher salt, egg yolk, garlic, finely grated, red wine vinegar, grapeseed oil, Vegetable oil, paprika, cumin, A spice mill or mortar and pestle; a deep-fry thermometer"
The Rattlesnake,"sugar, egg whites, separated individually, rye whiskey, lemon juice, Pernod or absinthe"
Twice-Roasted Sweet Potatoes With Hot Honey,"sweet potatoes or garnet yams, scrubbed, Fresno or other red chiles, thinly, honey, butter, Kosher salt, apple cider vinegar"
Gochujang-Braised Chicken and Crispy Rice,"onion, finely, garlic, finely grated, ginger, peeled, finely grated, gochujang, soy sauce, sugar, mirin, toasted sesame oil, freshly black pepper, plus more, cooked short-grain rice, cumin, garlic powder, mustard powder, chicken drumsticks, patted dry, Kosher salt, butter, vegetable oil, low-sodium chicken broth, scallions, white and pale-green parts only, cut into -inch"
Coconut Chicken Curry With Turmeric and Lemongrass,"lemongrass stalks, shallot, garlic, ginger, peeled, thinly, red pepper flakes, turmeric, vegetable oil, chicken legs, drumsticks and thighs separated, Kosher salt, freshly pepper, kaffir lime, cinnamon, cardamom pods, cracked, star anise pods, unsweetened coconut milk, coconut sugar or light brown sugar, unsweetened shredded coconut, cilantro and chives"
"Stuffed Lamb Breast With Lemon, Ricotta, And Oregano","oregano, fennel seeds, red pepper flakes, boneless lamb breasts, fat trimmed, Kosher salt, garlic, finely grated, egg yolk, Pecorino or Parmesan, finely grated, ricotta, drained, pitted oil-cured olives, coarsely, coarsely parsley, lemon juice, olive oil, Kosher salt, freshly pepper, onion, carrot, peeled, shallots, garlic, coarsely, dry white wine, lemon, quartered, parsley, plus with tender stems, thyme, bay, black peppercorns, A spice mill or a mortar and pestle"
BA's Best Fried Chicken Sandwich,"Diamond Crystal or Morton kosher salt, light brown sugar, baking powder, skin-on or skinless, boneless chicken thighs, garlic, finely grated, lemon juice, mayonnaise, finely chives, celery seeds, freshly black pepper, Kosher salt, all-purpose flour, cornstarch, garlic powder, onion powder, paprika, cayenne pepper, kosher salt, plus more, egg, beaten to blend, buttermilk, bourbon, hot sauce, plus more for serving, Peanut or vegetable oil, soft seeded hamburger buns, butter, Bread-and-Butter Pickles, plus brine, thinly iceberg lettuce, Freshly black pepper, A deep-fry thermometer"
Chili of Forgiveness,"olive oil, red onion, finely, garlic, finely rosemary, Kosher salt, red pepper, dark-meat turkey, peeled tomatoes, drained, juices reserved, and, butternut squash, cannellini beans, drained and rinsed, Tuscan kale, stems discarded, roughly, sage, finely, Freshly grated Parmesan cheese, for serving"
Easy Slow-Cooker Pot Roast,"paprika, rosemary, garlic powder, kosher salt, black pepper, boneless chuck roast, trimmed, extra virgin olive oil, baby carrots, onion, cut into dice, stalks celery, red new potatoes, quartered, low-sodium beef broth, balsamic vinegar, garlic, bay"
Bacon and Whiskey Jam,"bacon, cut into strips, Scant butter, shallots, peeled and, garlic, not too, peeled and, sweet smoked paprika, ginger, cinnamon, allspice, fl Irish whiskey, light soft brown sugar, honey, fl cider vinegar, marmalade"
Egg Curry with Tomatoes and Cilantro,"coriander seeds, cumin seeds, vegetable oil, divided, onion, finely, ginger, peeled, finely, garlic, finely, turmeric, cayenne pepper, russet potatoes, cut into -inch chunks, cherry or tomatoes, kosher salt, hard-boiled eggs, peeled, Cilantro with tender stems, plain yogurt, Steamed basmati rice or naan, A spice mill or a mortar and pestle"
Naturally Dyed Pickled Easter Eggs,"hard-boiled eggs, peeled, distilled white vinegar, kosher salt, sugar, beet, peeled, quartered, shallot, bay, ginger, thinly, black peppercorns, turmeric powder, purple cabbage, caraway seeds, baking soda, divided, carrot, peeled, garlic, sliver peeled beet, saffron"
"Sumo Stew (Chanko Nabe) with Shrimp, Meatballs, and Bok Choy","udon noodles, kosher salt, divided, plus more, vegetable oil, divided, – eggs, maitake or shiitake mushrooms, garlic, finely, finely ginger, white miso paste, homemade or store-bought low-sodium chicken broth, kombu, low-sodium soy sauce, Chicken Meatballs with Ginger and Miso, carrot, into -inch coins, baby bok choy, trimmed, cut crosswise in -inch, rice wine vinegar, skinless flaky white fish, cut into x -inch, peeled, deveined, tail-on shrimp, scallions"
Brothy Heirloom Beans With Cream,"mixed heirloom beans, soaked overnight, quarts chicken stock or low-sodium chicken broth, thyme, plus for serving, Kosher salt, freshly pepper, heavy cream, Flaky sea salt, Olive oil"
Kimchi-Braised Chicken With Bacon,"vegetable oil, slab bacon, inch thick, cut crosswise into -inch, chicken, cut into ; or chicken legs, drumsticks and thighs separated, plus skin-on, bone-in breasts, cut crosswise, Kosher salt, freshly pepper, garlic, lightly, pint cherry tomatoes, dry white wine, kimchi with juices, divided, wide egg noodles, butter, chives, divided"
Confit Chicken Thigh and Andouille Sausage Cassoulet,"skin-on, bone-in chicken thighs, Kosher salt, freshly pepper, head garlic, halved crosswise, shallots, halved, thyme, bay, juniper berries, olive oil, onion, garlic, peeled tomatoes, cooked white beans, plus cooking liquid, Kosher salt, freshly pepper, andouille or other smoked sausages, thick sourdough bread"
Braised Duck Legs With Polenta And Wilted Chard,"duck legs, Kosher salt, freshly pepper, thyme, garlic, bay, crumbled, juniper berries, vegetable oil, onion, carrots, peeled, stalks celery, dry red wine, milk, Kosher salt, freshly pepper, coarse-grind polenta, Sherry vinegar or red wine vinegar, bunch Swiss chard, olive oil, divided, garlic, Kosher salt, freshly pepper, red pepper flakes, lemon, halved, Parmesan, finely grated, butter"
Winter Squash and Short-Rib Enchiladas,"coriander seeds, cumin seeds, guajillo chiles, seeds removed, ancho chiles, seeds removed, morita chiles, homemade chicken stock or low-sodium chicken broth, divided, garlic, peeled, tomato paste, Mexican or Italian oregano, red kuri squash or sugar pumpkin, halved, seeds removed, vegetable oil, English-style bone-in beef short ribs, Kosher salt, bay, vegetable oil, white corn tortillas, Oaxaca cheese or mozzarella, grated, roasted pumpkin seeds, coarsely, coarsely marjoram or oregano, coarsely mint, Kosher salt, onion, thinly, Lime wedges, A spice mill or a mortar and pestle"
Roasted Short Ribs With Cauliflower And Celery,"garlic, Kosher salt, rosemary, olive oil, soy sauce, red pepper flakes, English-style bone-in beef short ribs, Freshly black pepper, head cauliflower, olive oil, Kosher salt, freshly pepper, heavy cream, blanched or skin-on hazelnuts, stalks celery, halved lengthwise, thinly on a diagonal; plus celery, parsley, hazelnut oil or olive oil, Sherry vinegar or red wine vinegar, Flaky sea salt, freshly pepper"
Pork Enchiladas Rojas,"coriander seeds, cumin seeds, guajillo chiles, seeds removed, ancho chiles, seeds removed, morita chiles, homemade chicken stock or low-sodium chicken broth, garlic, peeled, tomato paste, Mexican or Italian oregano, vegetable oil, boneless pork shoulder, fat trimmed, Kosher salt, bay, vegetable oil, white corn tortillas, queso fresco, crumbled, plus more for serving, avocado, sour cream, lime juice, Kosher salt, onion, into thin rings, Lime wedges, A spice mill or mortar and pestle"
Black-Eyed Pea Chile Verde,"vegetable oil, divided, smoked ham hocks, onions, quartered, garlic, thinly, coriander, cumin, black-eyed peas, soaked overnight, poblano chiles, seeds removed, serrano chiles, seeds removed, divided, tomatillos, husks removed, rinsed, divided, Kosher salt, cilantro, Freshly black pepper, Sour cream and chives"
Blood Orange and Mixed Bean Salad With Sprouts,"red Thai chile or other hot red chile, thinly, olive oil, lime juice, Sherry vinegar or red wine vinegar, Kosher salt, black pepper, cooked, cooled mixed beans, blood or navel oranges, stalks celery, very thinly on a diagonal, sprouts, divided, cilantro, divided"
"Cheesy Grits With Poached Eggs, Greens, and Bacon","eggs, room temperature, Kosher salt, white grits, bacon, coarsely, Fresno or other red chile, thinly into rings, Sherry vinegar or red wine vinegar, shallot, finely, torn Swiss chard, Freshly black pepper, butter, cheddar, coarsely grated"
Blood Orange–Chia Pudding,"plain yogurt, blood orange juice, orange-flower water, kosher salt, honey, plus more for serving, chia seeds, blood oranges, pistachios"
Yellowtail Crudo With Citrus and Avocado,"avocado, garlic, crème fraîche or sour cream, serrano chiles, seeded, finely, divided, lime juice, divided, Kosher salt, sashimi-grade skinless, boneless yellowtail fillet, olive oil, fish sauce, finely shallot, finely grated peeled ginger, yuzu kosho, radish, trimmed, thinly, Cilantro with tender stems and thin fancy crackers or crispbread"
